month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
August,2024,LOADED,CONTAINER (JSW),6.0,47.0,67597.0,81629.0,-13.82
August,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
August,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
August,2024,LOADED,IRON ORE,0.0,12.0,0.0,54995.0,-72.83
August,2024,LOADED,OTH.LIQ.CARGOES,0.0,0.0,0.0,0.0,0.0
August,2024,LOADED,OTHER CARGO,0.0,4.0,138.0,0.0,-92.7
August,2024,LOADED,PETROCHEMICALS,4.0,14.0,89542.0,43802.0,67.0
August,2024,LOADED,POL PRODUCTS,13.0,50.0,500007.0,393923.0,14.62
August,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,0.0,75.8
August,2024,UNLOADED,CONTAINER (JSW),12.0,63.0,123198.0,174806.0,-21.46
August,2024,UNLOADED,EDIBLE OIL,11.0,43.0,137135.0,80091.0,12.74
August,2024,UNLOADED,F.R.M. (DRY),0.0,1.0,0.0,0.0,103.77
August,2024,UNLOADED,FERTILIZER,1.0,10.0,5000.0,0.0,-10.42
August,2024,UNLOADED,IRON ORE,0.0,14.0,0.0,61242.0,-92.8
August,2024,UNLOADED,OTH. LIQ. CARGOES,8.0,61.0,42375.0,72865.0,-23.75
August,2024,UNLOADED,OTHER CARGO,7.0,25.0,22705.0,34053.0,-32.13
August,2024,UNLOADED,POL PRODUCTS,10.0,41.0,111761.0,62346.0,18.75
August,2024,UNLOADED,TOTAL CEMENT,1.0,9.0,9767.0,25684.0,-39.02
August,2024,UNLOADED,TOTAL COAL,10.0,44.0,523013.0,294389.0,43.22
August,2024,UNLOADED,TOTAL CRUDE,16.0,88.0,1324416.0,970899.0,3.2
August,2024,UNLOADED,TOTAL LPG,14.0,70.0,261756.0,319974.0,-10.44
September,2024,LOADED,CONTAINER (JSW),8.0,58.0,93577.0,104166.0,-13.11
September,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
September,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
September,2024,LOADED,IRON ORE,0.0,15.0,0.0,201995.0,-79.24
September,2024,LOADED,OTH.LIQ.CARGOES,1.0,1.0,4004.0,8104.0,72.53
September,2024,LOADED,OTHER CARGO,0.0,4.0,23.0,0.0,-92.67
September,2024,LOADED,PETROCHEMICALS,6.0,15.0,180923.0,19971.0,107.56
September,2024,LOADED,POL PRODUCTS,17.0,58.0,699216.0,326882.0,29.57
September,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,0.0,75.8
September,2024,UNLOADED,CONTAINER (JSW),11.0,77.0,129489.0,127669.0,-18.27
September,2024,UNLOADED,EDIBLE OIL,6.0,52.0,56458.0,101145.0,1.52
September,2024,UNLOADED,F.R.M. (DRY),0.0,2.0,0.0,8000.0,49.43
September,2024,UNLOADED,FERTILIZER,1.0,12.0,20000.0,36979.0,-14.87
September,2024,UNLOADED,IRON ORE,1.0,17.0,50940.0,165000.0,-88.59
September,2024,UNLOADED,OTH. LIQ. CARGOES,7.0,75.0,30227.0,75919.0,-30.61
September,2024,UNLOADED,OTHER CARGO,6.0,28.0,18957.0,18931.0,-27.86
September,2024,UNLOADED,POL PRODUCTS,7.0,48.0,103723.0,95152.0,17.01
September,2024,UNLOADED,TOTAL CEMENT,1.0,11.0,10000.0,12438.0,-36.81
September,2024,UNLOADED,TOTAL COAL,12.0,53.0,669584.0,505620.0,41.25
September,2024,UNLOADED,TOTAL CRUDE,16.0,96.0,1361140.0,614544.0,12.67
September,2024,UNLOADED,TOTAL LPG,11.0,85.0,223074.0,332917.0,-15.17
October,2024,LOADED,CONTAINER (JSW),10.0,70.0,76410.0,107295.0,-15.72
October,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
October,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
October,2024,LOADED,IRON ORE,2.0,18.0,90521.0,119729.0,-72.51
